原文,訳文
Queen Aurala ir'Wynarn,アーララ・イル＝ワイナーン女王
Lady Erliza,アーリザ侯
Urlimar,アーリマール
Ahrim,アーリム
Aaryl,アアリル
Irlingstar,アーリングスター（家）
Aargab,アアルガブ
Aaren d'Cannith,アーレン・ド＝カニス
Irlentree,アーレンツリー（家）
Ahlorsath,アーローサス
Urlon,アーロン
Arn Xalrondar,アーン・ザルロンダー
Arnskull,アーンスカル（鷲の髑髏）
Arn Forest,アーンの森
eye agate,アイ・アゲート
Eye and Hand of Vecna,ヴェクナの目と手
Eye of Vecna,ヴェクナの目
Eye Ray,アイ・レイ
Iron,アイアン（鉄）
Iron Gate,アイアン・ゲート
Iron Golem,アイアン・ゴーレム
Iron Golem Foundries,アイアン・ゴーレム鋳造所
Iron spider,アイアン・スパイダー
Iron Defender,アイアン・ディフェンダー
Iron Token,鉄の小物
Iron Bands of Bilarro／ビラーロの鉄帯,アイアン・バンズ・オヴ・ビラーロ
Iron Flask,鉄のビン
Clan Ironeye,アイアンアイ氏族
Ironshield,アイアンシールド（“鉄の盾”の意）
Irontown,アイアンタウン
Ironhide,アイアンハイド
Ironfist,アイアンフィスト（鉄拳）
Ironpost Street,アイアンポスト大通り
Ironmaster,アイアンマスター
Ironroot Mountains,アイアンルート山脈
Ivy Towers,アイヴィ・タワーズ
Plains of Iuz,アイウーズ平原
Ioun,アイウーン
Ioun Stone,アイウーンの石
Ivory Goats,象牙の山羊
Ike,アイク
Agorn Fuoco,アイゴーン・フオーコ
I'jin,アイジン
Eyeth,アイズ
The Eyes,アイズ
Eyes of Onyx,オニキスの目
Eyes of the Eagle,鷹の目眼鏡
Eyes of Charming,魅了の眼鏡
Eyes of Minute Seeing,拡大眼鏡
ICE SHEAR ISLE,アイス・シァー島
Ice Storm,氷の嵐
Ice Devil,アイス・デヴィル
Summon Ice Devil,アイス・デヴィル召喚
Ice Knife,氷のナイフ
Ice Mephit,アイス・メフィット
Icewind Dale,アイスウィンド・デイル
ICEWOOD,アイスウッド
ICEGAUNT ISLAND,アイスゴーント島
Icespire Peak,アイススパイア山
Eyestalker,アイストーカー
ICETOP MOUNTAINS,アイストップ山脈
ICENEEDLE FOREST,アイスニードル・フォレスト
Iceflow Sea,アイスフロー海
Iceflow River,アイスフロー川
Icehaven Sound,アイスヘイヴン海峡
Icehorn Mountains,アイスホーン山脈
ICEWHITE ISLAND,アイスホワイト島
Icemaw Sea,アイスモー海
Idalla,アイダーラ
Ideal,アイデアル（理想）
Idim,アイディム
Idyllglen,アイディルグレン
Idyll Road,アイディル道
Aedyn Graymantle,アイディン・グレイマントル
Creating an Item List,アイテム・リストの作成
Wearing and Wielding Items,アイテムの着用と使用
Selling Items,アイテムの売却
Overstocking an Adventure,アイテムは多めに配置する
Item Descriptions,アイテム解説
Crafting,アイテム作成
Crafting an Item,アイテム作成
Eberron Crafting Complications,アイテム作成のトラブル（エベロン版）
Crafting Complications,アイテム作成の障害
Identify,識別
Eidolon,アイドーロン
Eyebite,魔眼
Ihanvas,アイハンヴァス
Aybtep,アイブテプ
Aebrynis,アイブリニス
Imaskar,アイマスカー
Imaskari,アイマスカー人
Imix,アイミックス
Imix's Blessing,アイミックスの祝福
Aym,アイム
Aym,アイム
Ayraea,アイラエア
Aelar,アイラル
Irisoth,アイリソス
Irimar's Walk,アイリマー通り
Ael,アイル
Ilzantil Street,アイルザンティル大通り
Ilzimmer,アイルジマー（家）
Aerdeth,アイルデス
Avassh,アヴァシュ
avatar,アヴァターラ
avatar of death,アヴァターラ・オヴ・デス
Avareen Windrivver,アヴァリーン・ウィンドリヴァー
Avariel,アヴァリエル
Avandra,アヴァンドラ
Avi,アヴィ
Aveen Street,アヴィーン大通り
Awareness,警戒
Awakened Shrub,アウェイクンド・シュラブ
Awakened Tree,アウェイクンド・ツリー
Avery Sonshal,アヴェリー・サンシャル
Avernus,アヴェルヌス
Avernus Chase Complications,アヴェルヌスでのチェイスの障害
Legacy of Avernus,アヴェルヌスの血の遺産
Veteran of Avernus,アヴェルヌスの古強者
Ruler of Avernus,アヴェルヌスの支配者
Getting to Avernus,アヴェルヌスへの道
From here to Avernus,アヴェルヌス宅配便
Aukan,アウカン
Aust,アウスト
Audhild,アウドヒルド
Outlands,アウトランズ
Avhoste,アヴホステ
Awmok,アウモク
Owl,アウル
Owl's Perch,アウルズ・パーチ
Owlbear,アウルベア
Aerith,アエリス
Aoth,アオト
Aghar,アガー
Akarrth Shadowdusk,アカース・シャドウダスク
Agatha,アガサ
Akadi,アカディー
Aganazzar,アガナザー
Aganazzar's Scorcher,アガナザーの火炎放射
Akanax,アカナックス
Acamar,アカマル
Akambherylliax,アカンベリリアックス
Aka Way,アカ道
Akith Xornbane,アキス・ゾーンベイン
Achuak,アクアク
aquatic elf,アクアティック・エルフ
aquamarine,アクアマリン
Aguus,アグース
Aximus,アクシムス
Action Options,アクションのオプション
action station,アクションポスト
Akta,アクタ
Akna,アクナ
Akmenos,アクメノス
Akmen,アクメン
Akra,アクラ
Aglarond,アグラロンド
Ahghairon,アゲアロン
Ahghairon's Dragonward,アゲアロンの対ドラゴン防護
Ahghairon's Tower,アゲアロンの塔
Ahghairon's Day,アゲアロンの日
Ahghairon's Statue,アゲアロン像
Acheron Wardrobe,アケロンの衣装だんす
Agosto,アゴスト
Akora,アコラ
Agorra Duskaxe,アゴラ・ダスクアックス
Agolo,アゴロ
Azza,アザ
Uzza,アザ
Azar Valsheem,アザー・ヴァルシーム
Acererak,アサーラック
Acererak and His Disciples,アサーラックと弟子たち
Throne of Acererak,アサーラックの玉座
Acererak's Scepter,アサーラックの錫杖
Devotees of Acererak,アサーラックの信奉者
Acererak's Gift,アサーラックの贈り物
Acererak's Defeat,アサーラックの敗北
Acererak's Revenge,アサーラックの復讐
Asavir's Channel,アサヴァー海峡
Azaka Stormfang,アザカ・ストームファング
Azaki,アザキ
Azzakh,アザク
Azzagrat,アザグラト
Taunt,あざけり
Assassin,アサシン
Assassin Vine,アサシン・ヴァイン
Azzatar,アザタール
Athalantar,アサランター（王国）
Azal,アザル
Azalea,アザレア
Athandra,アサンドラ
Acid Splash,酸の飛沫
Asharra,アシャーラ
Ashana,アシャナ
The Azure Gateway,アジュア・ゲートウェイ
Azuredge,紺碧の刃
Ashtai,アシュタイ
Ashtakala,アシュタカラ
Ashtyrranthor,アシュティランソール
Ashdra,アシュドラ
Ashmadai,アシュマダイ
azurite,アジュライト
Ashranthax,アシュランサクス
Agility,機敏
Ussilbran Street,アシルブラン大通り
Azi Mas,アズィ・マス
Azuth,アズース
Azuil,アズゥル
Athkatla,アスカトラ
Asgard,アスガルド
Ascalhorn,アスカルホーン
Azgra,アズグラ
Askelios,アスケリオス
Ascore,アスコア
Ascore,アスコレ
Ustar,アスター
Asutali,アスタリ
Astar,アスタル
Astaro,アスタロ
Asteril's Way,アステリルの道
astral skiff,アストラル・スキフ
astral dreadnought,アストラル・ドレッドノート
Astral brig,アストラル・ブリッグ
Astral Projection,アストラル投射
Astral Sea,アストラル海
Astral Plane,アストラル界
astral ship,アストラル船
Astral Entity,アストラル存在
astral body,アストラル体
Astorio,アストリオ
Asper,アスパー
Asmagh,アスマグ
Asmagh's Alley,アスマグ通り
Asmodeus,アスモデウス
Asmodeus,アスモデウス
Asmodeus's Golden Arse,アスモデウスの金のケツ
The Trial of Asmodeus,アスモデウス裁判
Assuran,アスラン
Azrok,アズロク
Legion of Azrok,アズロク軍団
Azrokkog,アズロコグ
Aseir,アセイル
ascendant councilor,アセンダント・カウンシラー
Asojano,アソジャノ
Atur,アター
Uttersea,アターシー
Adderport,アダーポート
Adar,アダール
Adder River,アダー川 
Adder Bay,アダー湾
Adaka,アダカ
Adamantine Armor,アダマンティンの鎧
Adamantine Weapons,アダマンティンの武器
Adamantine Sixblade,アダマンティンの六本刃
Adamantine Citadel,アダマンティン砦
Adamantine Plating,アダマンティン装甲
Charm of the Adamant,アダマントの恵み
Adam Lee,アダム・リー
Atumwa,アタムワ
Atala,アタラ
Adult,アダルト（大人）
Adult Blue Dracolich,アダルト・ブルー・ドラコリッチ
Nickname,あだ名
Axe of the Dwarvish Lords,ドワーフの長たちの斧
Axe Beak,アックス・ビーク
Ash,アッシュ
The Ash Cauldrons,アッシュ・コールドロンズ
THE ASH BEACON,アッシュ・ビーコン
Ashbound,アッシュに属する者
Ashblack,アッシュブラック
Ashlord,アッシュロード
ASHEN SPIRES,アッシュン・スパイアズ
Appleblossom,アップルブロッサム（花咲林檎家）
otyugh,アティアグ
Atazi,アテイジ
Athena,アテナ
Adeya,アデヤ
Aduna,アデューナ
Atuar,アトゥアル
Citadel Adbar,アドバー城塞
Adventures,アドベンチャー
Adventure Book,アドベンチャー・ブック
Adventuring Options,アドベンチャーに関するオプション・ルール
The Three Pillars of Adventure,アドベンチャーの3つの柱
Adventure Summary,アドベンチャーのあらすじ
Story Overview,アドベンチャーのあらすじ
Adventure Climax,アドベンチャーのクライマックス
Adventure Types,アドベンチャーのタイプ分け
Adventure Villains,アドベンチャーの悪役
Adventure Patrons,アドベンチャーの依頼者役
Running the Adventure,アドベンチャーの運営
Adventure Structure,アドベンチャーの構造
Adventure Structure,アドベンチャーの構造
Running the Adventure,アドベンチャーの使い方
Planting Adventure Seeds,アドベンチャーの種をまく
Adventure Duration,アドベンチャーの所要時間
Adventure Overview,アドベンチャーの大筋
Adventure Introduction,アドベンチャーの導入
Adventure Background,アドベンチャーの背景
Story Overview,アドベンチャーの背景
Placing the Adventure,アドベンチャーの舞台
Adventure Location,アドベンチャーの舞台となる場所
Complications,アドベンチャーの複雑化
Adventure Allies,アドベンチャーの味方役
Adventure Flowchart,アドベンチャーの流れ
Adventure Flowchart,アドベンチャーの流れ
Linking Adventures,アドベンチャーをつなぎ合わせる
Designing Adventures,アドベンチャーをデザインする
Running the Adventures,アドベンチャー使用時の注意
About the Adventures,アドベンチャー紹介
Adran,アドラン
Adrie,アドリエ
Adrik,アドリク
Adrex,アドレクス
Atropal,アトロパル
Nourishing the Atropal,アトロパルの養育
anarch,アナーク
Anakalathai,アナカラシ
Anakis,アナキス
Badger,アナグマ
Anastrianna,アナストリアンナ
Anadia,アナディア
Anamanue Laeral Silverhand,アナマヌエ・レイラル・シルヴァーハンド
Annam,アナム
Annam's Offspring: The Giant Pantheon,アナムの息子たち：巨人族のパンテオン
Anarath,アナラス
Annis hag,アニス・ハグ
Animal Shapes,集団動物化
Animal Friendship,獣の友
Animal Messenger,獣の伝令
Animism,アニミズム
Animated Armor,アニメイテッド・アーマー
Animated Objects,アニメイテッド・オブジェクト
Animated Shield,自律行動する盾
Animated Table,アニメイテッド・テーブル
Animate Objects,物体操り
Animate Dead,死体操り
Anubis,アヌビス
Anet,アネット
Anauroch,アノーラック
Great Desert of Anauroch,アノーラック大砂漠
Anodius,アノディウス
abactor,アバクター
The Bitch Queen,あばずれ女王
Abbathor,アバソー
The Dual Role of Abbathor,アバソーの二重の役割
Pock,あばた
Abad,アバド
Abanasinia,アバナシニア
Abalaba,アバラバ
Shanty Lane,あばら屋通り
Apparatus of Kwalish,クワリシュの装置
Abi-Dalzim,アビー・ダルジム
Abi-Dalzim's Horrid Wilting,アビー・ダルジムの恐るべき枯渇
Abyssal Chicken,アビサル・チキン
Abyssal Wretch,アビサル・レッチ
Abyssal Corruption,アビスの堕落
A Fool in the Abyss,アビスの道化
Abyssal Gate,アビスの門
Abyssal Prisons,アビスの牢獄
Abysm,アビズム
Ahinar,アヒナール
Ahvain,アフヴァイン
Abzug,アブズグ
Absorb Elements,元素吸収
Absorption,呪文吸収
Abdel Adrian,アブデル・エイドリアン
Ahpok,アフポク
Abricade Fellswop,アブリケイド・フェルスワップ
Abriymoch,アブリモク
Apret,アプレット
Aphrodite,アフロディテ
Abberoch,アベロック
Apocalypto,アポカリプト
Apep,アポピス
Abominable Yeti,アボミナブル・イエティ
Aboleth,アボレス
Aboleth Slime,アボレスの粘液
Apollo,アポロ
Amakiir （Gemflower）,アマキィル（宝石の花）
Ammakyl,アマキル（家）
Amak,アマク
Amastacia （Starflower）,アマスタキア（星の花）
Amafrey,アマフレイ
Amarandine Wanderfoot,アマランディーン・ワンダーフット
Amalica,アマリカ
Ahmaergo,アミアゴ
Amulet,アミュレット（護符）
Amulet of the Black Skull,黒髑髏のお守り
Amulet of the Planes,次元界のお守り
Amulet of Proof against Detection and Location,感知および位置特定妨害のお守り
Amulet of Protection from Turning,退散防ぎのお守り
Amulet of Health,健康のお守り
Amcathra,アムカスラ（家）
Amnizu,アムニズゥ
Amnon,アムノン
amphisbaena,アムピスバイナ
Amber,アムベル
amlakkar,アムラッカル
Amrik Vanthampur,アムリク・ヴァンサンパー
Dealing with Amrik,アムリクとの対決
Amethyst,アメジスト
amethyst,アメジスト
Amedio Jungle,アメディオ・ジャングル
Amaunator,アモーネイター
Ayocuan,アヨクワン
Ara,アラ
Alaii,アラーイー
Alarm,警報
